DIGITAL COLLECTIONS SUMMARY REPORT

GEOGRAPHICAL SUBJECTS:
"American Association of University Women, Maryland Division","1"
"Tobacco industry Maryland 18th century Archival resources","1"
TOTAL = 116

TEMPORAL SUBJECTS:
"1885-12-13","1"
"2011-2020","2"
"1901-2000","61"
"1911-1920","61"
"1982-10","1"
"1951-1960","51"
"1811-1820","1"
"1751-1760","2"
"1851-1860","8"
"1791-1800","6"
"1891-1900","29"
"1884-01-3","1"
"1971-11-28","1"
"1884-05-14","1"
"2001-2100","1"
"1821-1830","1"
"1921-1930","22"
"1861-1870","27"
"1961-1970","23"
"1701-1800","10"
"1761-1770","1"
"1801-1900","99"
"1987","1"
"1601-1700","1"
"1831-1840","5"
"1931-1940","94"
"1871-1880","12"
"1971-1980","32"
"1731-1740","1"
"1771-1780","33"
"2001-2010","10"
"1991-2000","14"
"1884-10-19","1"
"1901-1910","60"
"1941-1950","72"
"1801-1810","1"
"1981-1990","82"
"1885-04-26","1"
"1884-03-31","1"
"1741-1750","1"
"1841-1850","1"
"1881-1890","31"
TOTAL = 864

RELATIONSHIPS
"Biographical Photographs - Print File","1"
"Cigar Makers' International Union archives","6"
"University Publications","4"
"Osburn Family papers","1"
"Djuna Barnes papers","1"
"Joseph Raynes papers","1"
"Preston Family Papers","39"
"Work Projects Administration in Maryland records","48"
"Robert Gilmor and William Trippe Papers","30"
"United Brotherhood of Carpenters and Joiners (UBCJ)","3"
"Baltimore News American collection","32"
"Donald Maley papers","11"
"National Trust Library Postcard Collection","43"
"United Brotherhood of Carpenters and Joiners (UBCJ) archives","4"
"Messrs. Freeman and Almy archives","6"
"William Trippe papers","2"
"Works Projects Administration in Maryland records","10"
"Hepburn Family Papers","6"
"Maryland Manuscripts collection","7"
"John William Stewart Family papers","2"
"Sellman Family papers","3"
"Papers of Donald Maley","3"
"Industrial Union of Marine and Shipbuilding Workers of America archives","1"
"John T. Whalen papers","1"
"Preston Family papers","88"
"United Brotherhood of Carpenters and Joiners of America archives","289"
"Leon Washington Condol papers","1"
TOTAL = 643
